"Industry","Ticker","Exchange","Stock Name","URL","Link"
"basicmaterials","ROG","nyse","Rogers Corporation","https://www.etoro.com/markets/ROG","Link"
"basicmaterials","ROSNL.L","london","Rosneft OAO","https://www.etoro.com/markets/ROSNL.L","Link"
"basicmaterials","RPM","nyse","RPM International Inc","https://www.etoro.com/markets/RPM","Link"
"basicmaterials","RS","nyse","Reliance Steel And Aluminum Co","https://www.etoro.com/markets/RS","Link"
"basicmaterials","RTN.L","london","Restaurant Group PLC","https://www.etoro.com/markets/RTN.L","Link"
"basicmaterials","RWI.L","london","Renewi","https://www.etoro.com/markets/RWI.L","Link"
"basicmaterials","SAGA.L","london","Saga PLC","https://www.etoro.com/markets/SAGA.L","Link"
"basicmaterials","SAND.ST","stockholm","Sandvik AB","https://www.etoro.com/markets/SAND.ST","Link"
"basicmaterials","SAOC","tadawul","Aramco Saudi Arabian Oil Corp","https://www.etoro.com/markets/SAOC","Link"
"basicmaterials","SBSW","nyse","Sibanye Stillwater Ltd","https://www.etoro.com/markets/SBSW","Link"
"basicmaterials","SCCO","nyse","Southern Copper Corp","https://www.etoro.com/markets/SCCO","Link"
"basicmaterials","SDF.DE","frankfurt","K+S Aktiengesellschaft","https://www.etoro.com/markets/SDF.DE","Link"
"basicmaterials","SGL.DE","frankfurt","SGL Carbon","https://www.etoro.com/markets/SGL.DE","Link"
"basicmaterials","SHEL","nyse","Shell PLS (ADR)","https://www.etoro.com/markets/SHEL","Link"
"basicmaterials","SHLS","nasdaq","Shoals Technologies Group Inc","https://www.etoro.com/markets/SHLS","Link"
"basicmaterials","SHW","nyse","Sherwin-Williams Co","https://www.etoro.com/markets/SHW","Link"
"basicmaterials","SID","nyse","Cia Siderurgica Nacional SA","https://www.etoro.com/markets/SID","Link"
"basicmaterials","SLB","nyse","Schlumberger Ltd","https://www.etoro.com/markets/SLB","Link"
"basicmaterials","SLVM","nyse","Sylvamo Corp.","https://www.etoro.com/markets/SLVM","Link"
"basicmaterials","SNP","nyse","China Petroleum & Chemical Corporation","https://www.etoro.com/markets/SNP","Link"
"basicmaterials","SOLB.PA","paris","SOLVAY","https://www.etoro.com/markets/SOLB.PA","Link"
"basicmaterials","SON","nyse","Sonoco Products Co","https://www.etoro.com/markets/SON","Link"
"basicmaterials","SQM","nyse","Sociedad Quimica y Minera de Chile SA","https://www.etoro.com/markets/SQM","Link"
"basicmaterials","SRP.L","london","Serco Group PLC","https://www.etoro.com/markets/SRP.L","Link"
"basicmaterials","SSABAH.HE","helsinki","SSAB AB ser. A","https://www.etoro.com/markets/SSABAH.HE","Link"
"basicmaterials","SSL","nyse","Sasol Ltd","https://www.etoro.com/markets/SSL","Link"
"basicmaterials","SSRM","nasdaq","SSR Mining Inc","https://www.etoro.com/markets/SSRM","Link"
"basicmaterials","STEM","nyse","Stem Inc.","https://www.etoro.com/markets/STEM","Link"
"basicmaterials","STLD","nasdaq","Steel Dynamics Inc","https://www.etoro.com/markets/STLD","Link"
"basicmaterials","SU","nyse","Suncor Energy Inc.","https://www.etoro.com/markets/SU","Link"
"basicmaterials","SUBC.OL","oslo","Subsea 7","https://www.etoro.com/markets/SUBC.OL","Link"
"basicmaterials","SUZ","nyse","Suzano SA","https://www.etoro.com/markets/SUZ","Link"
"basicmaterials","SVS.L","london","Savills PLC","https://www.etoro.com/markets/SVS.L","Link"
"basicmaterials","SVSTL.L","london","Severstal PAO","https://www.etoro.com/markets/SVSTL.L","Link"
"basicmaterials","SWN","nyse","Southwestern Energy Co","https://www.etoro.com/markets/SWN","Link"
"basicmaterials","SXT","nyse","Sensient Technologies Corp","https://www.etoro.com/markets/SXT","Link"
"basicmaterials","SY1.DE","frankfurt","Symrise","https://www.etoro.com/markets/SY1.DE","Link"
"basicmaterials","SZG.DE","frankfurt","Salzgitter","https://www.etoro.com/markets/SZG.DE","Link"
"basicmaterials","TECK","nyse","Teck Resources Ltd","https://www.etoro.com/markets/TECK","Link"
"basicmaterials","TEN.MI","borsaitaliana","Tenaris Group","https://www.etoro.com/markets/TEN.MI","Link"
"basicmaterials","TGS.OL","oslo","TGS-NOPEC","https://www.etoro.com/markets/TGS.OL","Link"
"basicmaterials","TKA.DE","frankfurt","ThyssenKrupp AG","https://www.etoro.com/markets/TKA.DE","Link"
"basicmaterials","TLW.L","london","Tullow Oil","https://www.etoro.com/markets/TLW.L","Link"
"basicmaterials","TPL","nyse","Texas Pacific Land Corporation","https://www.etoro.com/markets/TPL","Link"
"basicmaterials","TRGP","nyse","Targa Resources Corp","https://www.etoro.com/markets/TRGP","Link"
"basicmaterials","TROX","nyse","Tronox Holdings PLC","https://www.etoro.com/markets/TROX","Link"
"basicmaterials","TTE","nyse","TotalEnergies SE","https://www.etoro.com/markets/TTE","Link"
"basicmaterials","TTE.PA","paris","TotalEnergies SE","https://www.etoro.com/markets/TTE.PA","Link"
"basicmaterials","TX","nyse","Ternium SA","https://www.etoro.com/markets/TX","Link"
"basicmaterials","UHR.ZU","zurich","The Swatch Group SA - B Shares","https://www.etoro.com/markets/UHR.ZU","Link"
"basicmaterials","UMI.BR","brussels","Umicore","https://www.etoro.com/markets/UMI.BR","Link"
"basicmaterials","UPM.HE","helsinki","UPM-Kymmene Oyj","https://www.etoro.com/markets/UPM.HE","Link"
"basicmaterials","VALE","nyse","Vale SA","https://www.etoro.com/markets/VALE","Link"
"basicmaterials","VOE.DE","frankfurt","Voestalpine AG","https://www.etoro.com/markets/VOE.DE","Link"
"basicmaterials","VOLV-A.ST","stockholm","Volvo AB ser. A","https://www.etoro.com/markets/VOLV-A.ST","Link"
"basicmaterials","VVV","nyse","Valvoline Inc.","https://www.etoro.com/markets/VVV","Link"
"basicmaterials","VWS.CO","copenhagen","Vestas Wind Systems A/S","https://www.etoro.com/markets/VWS.CO","Link"
"basicmaterials","WDS","nyse","Woodside Energy Group LTD.","https://www.etoro.com/markets/WDS","Link"
"basicmaterials","WLK","nyse","Westlake Chemical Corp","https://www.etoro.com/markets/WLK","Link"
"basicmaterials","WLL","nyse","Whiting Petroleum Corp","https://www.etoro.com/markets/WLL","Link"
"basicmaterials","WPM","nyse","Wheaton Precious Metals Corp","https://www.etoro.com/markets/WPM","Link"
"basicmaterials","X","nyse","United States Steel Corp","https://www.etoro.com/markets/X","Link"
"basicmaterials","XOM","nyse","Exxon-Mobil","https://www.etoro.com/markets/XOM","Link"
"conglomerates","BYD","nyse","Boyd Gaming","https://www.etoro.com/markets/BYD","Link"
"conglomerates","CC","nyse","The Chemours","https://www.etoro.com/markets/CC","Link"
"conglomerates","CCU","nyse","Cia Cervecerias unidas","https://www.etoro.com/markets/CCU","Link"
"conglomerates","FAST","nasdaq","Fastenal Company","https://www.etoro.com/markets/FAST","Link"
"conglomerates","IEP","nasdaq","Icahn Entrpres Depositary Units Repr Units of LP Interests","https://www.etoro.com/markets/IEP","Link"
"conglomerates","MMM","nyse","3M","https://www.etoro.com/markets/MMM","Link"
"conglomerates","POST","nyse","Post holdings","https://www.etoro.com/markets/POST","Link"
"conglomerates","SBH","nyse","Sally Beauty Holdings Inc.","https://www.etoro.com/markets/SBH","Link"
"conglomerates","SPB","nyse","Spectrum Brands Holdings Inc.","https://www.etoro.com/markets/SPB","Link"
"conglomerates","WEN","nasdaq","Wendy's","https://www.etoro.com/markets/WEN","Link"
"consumergoods","00027.HK","hongkong","Galaxy Entertainment Group Ltd","https://www.etoro.com/markets/00027.HK","Link"
"consumergoods","00175.HK","hongkong","Geely Automobile Holdings Ltd","https://www.etoro.com/markets/00175.HK","Link"
"consumergoods","00322.HK","hongkong","Tingyi Cayman Islands Holding","https://www.etoro.com/markets/00322.HK","Link"
"consumergoods","00880.HK","hongkong","SJM Holdings Ltd","https://www.etoro.com/markets/00880.HK","Link"
"consumergoods","01055.HK","hongkong","China Southern Airlines Co Ltd","https://www.etoro.com/markets/01055.HK","Link"
"consumergoods","01093.HK","hongkong","CSPC Pharmaceutical Group Ltd","https://www.etoro.com/markets/01093.HK","Link"
"consumergoods","01114.HK","hongkong","Brilliance China Automotive","https://www.etoro.com/markets/01114.HK","Link"
"consumergoods","01128.HK","hongkong","Wynn Macau Ltd","https://www.etoro.com/markets/01128.HK","Link"
"consumergoods","01177.HK","hongkong","Sino Biopharmaceutical Ltd","https://www.etoro.com/markets/01177.HK","Link"
"consumergoods","01211.HK","hongkong","BYD Co Ltd","https://www.etoro.com/markets/01211.HK","Link"
"consumergoods","01928.HK","hongkong","Sands China Ltd","https://www.etoro.com/markets/01928.HK","Link"
"consumergoods","02020.HK","hongkong","ANTA Sports Products Ltd","https://www.etoro.com/markets/02020.HK","Link"
"consumergoods","02196.HK","hongkong","Shanghai Fosun Pharmaceutical","https://www.etoro.com/markets/02196.HK","Link"
"consumergoods","02269.HK","hongkong","Wuxi Biologics Cayman Inc","https://www.etoro.com/markets/02269.HK","Link"
"consumergoods","02313.HK","hongkong","Shenzhou International Group","https://www.etoro.com/markets/02313.HK","Link"
"consumergoods","02319.HK","hongkong","China Mengniu Dairy Co Ltd","https://www.etoro.com/markets/02319.HK","Link"
"consumergoods","0489.HK","hongkong","Dongfeng Motor Group","https://www.etoro.com/markets/0489.HK","Link"
"consumergoods","06862.HK","hongkong","Haidilao International Holding","https://www.etoro.com/markets/06862.HK","Link"
"consumergoods","0753.HK","hongkong","Air China","https://www.etoro.com/markets/0753.HK","Link"
"consumergoods","0941.HK","hongkong","China Mobile","https://www.etoro.com/markets/0941.HK","Link"
"consumergoods","1044.HK","hongkong","Hengan International Group Co Ltd","https://www.etoro.com/markets/1044.HK","Link"
"consumergoods","1317.HK","hongkong","China Maple Leaf Educational Systems Ltd","https://www.etoro.com/markets/1317.HK","Link"
"consumergoods","151.HK","hongkong","Want Want China Holdings Ltd","https://www.etoro.com/markets/151.HK","Link"
"consumergoods","1530.HK","hongkong","3SBio Inc","https://www.etoro.com/markets/1530.HK","Link"
"consumergoods","1585.HK","hongkong","Yadea Group Holdings Ltd","https://www.etoro.com/markets/1585.HK","Link"
"consumergoods","1797.HK","hongkong","Koolearn Technology Holding Ltd","https://www.etoro.com/markets/1797.HK","Link"
"consumergoods","1801.HK","hongkong","Innovent Biologics Inc","https://www.etoro.com/markets/1801.HK","Link"
"consumergoods","1810.HK","hongkong","Xiaomi Corp","https://www.etoro.com/markets/1810.HK","Link"
"consumergoods","1833.HK","hongkong","Ping An Healthcare and Technology Co Ltd","https://www.etoro.com/markets/1833.HK","Link"
"consumergoods","1873.HK","hongkong","Viva Biotech Holdings","https://www.etoro.com/markets/1873.HK","Link"
"consumergoods","1958.HK","hongkong","BAIC Motor Corp Ltd","https://www.etoro.com/markets/1958.HK","Link"
"consumergoods","200.HK","hongkong","Melco International Development Ltd","https://www.etoro.com/markets/200.HK","Link"
